,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif
3267,2018/9/10,3271.38,3277.88,3227.85,3230.07,63817051,,-34.69706106,-29.91714461,-9.559832899,3271.38,3230.07,,,,,4365.08,79.54264692,3267.25,-61.76002861
3268,2018/9/11,3229.71,3245.62,3209.11,3224.21,58491305,,-38.74161133,-31.68203795,-14.11914676,3229.71,3224.21,,,,,4365.08,79.54264692,3267.25,-61.76002861
3269,2018/9/12,3216.99,3225.6,3194.98,3202.02,54627899,,-43.23906114,-33.99344259,-18.49123709,3216.99,3202.02,,,,,4365.08,79.54264692,3267.25,-61.76002861
3270,2018/9/13,3239.69,3249.59,3191.4,3236.57,67290327,,-43.51382595,-35.89751926,-15.23261338,3239.69,3236.57,,1,,,4365.08,79.54264692,3267.25,-61.76002861
3271,2018/9/14,3242.83,3254.1,3227.94,3242.09,60130640,,-42.7928716,-37.27658973,-11.03256374,3242.83,3242.09,,,,,4365.08,79.54264692,3236.57,-43.51382595
3272,2018/9/17,3224.93,3230.79,3200.51,3204.92,52259547,,-44.70548147,-38.76236808,-11.88622679,3224.93,3204.92,,,,,4365.08,79.54264692,3236.57,-43.51382595
3273,2018/9/18,3193.64,3270.11,3193.64,3269.43,70425035,,-40.54840395,-39.11957525,-2.857657392,3269.43,3193.64,,,,,4365.08,79.54264692,3236.57,-43.51382595
3274,2018/9/19,3262,3335.99,3258.31,3312.48,89170666,,-33.39515627,-37.97469146,9.159070369,3312.48,3262,,1,,,4365.08,79.54264692,3236.57,-43.51382595
3275,2018/9/20,3314.88,3332.31,3303.07,3310.13,64561057,,-27.59765275,-35.89928372,16.60326193,3314.88,3310.13,,,,,4365.08,79.54264692,3312.48,-33.39515627
3276,2018/9/21,3320.7,3410.49,3307.77,3410.49,108416005,,-14.73502004,-31.66643098,33.86282187,3410.49,3320.7,,,1,,4365.08,79.54264692,3312.48,-33.39515627
3277,2018/9/25,3375.97,3394.38,3367.03,3379.8,69054693,,-6.93774348,-26.72069348,39.5659,3379.8,3375.97,1,,1,,4365.08,79.54264692,3312.48,-33.39515627
3278,2018/9/26,3388.56,3448.26,3383.24,3417.24,93173343,,2.236963156,-20.92916215,46.33225062,3417.24,3388.56,,,1,,3379.8,-6.93774348,3312.48,-33.39515627
3279,2018/9/27,3415.95,3423.71,3394.73,3403.59,69765241,,8.310742279,-15.08118127,46.78384709,3415.95,3403.59,1,,1,,3379.8,-6.93774348,3312.48,-33.39515627
3280,2018/9/28,3409.96,3444.99,3404.7,3438.86,84377756,,15.78825308,-8.907294399,49.39109495,3438.86,3409.96,,,1,,3403.59,8.310742279,3312.48,-33.39515627
3281,2018/10/8,3361.56,3364.46,3285.25,3290.9,97888989,,9.663701671,-5.193095185,29.71359371,3361.56,3290.9,1,,,,3403.59,8.310742279,3312.48,-33.39515627
3282,2018/10/9,3290.17,3309.8,3276.13,3288.69,66723274,,4.57884001,-3.238708146,15.63509631,3290.17,3288.69,,,,,3290.9,9.663701671,3312.48,-33.39515627
3283,2018/10/10,3295.43,3315.73,3256.58,3281.6,64492828,,-0.022790522,-2.595524621,5.145468197,3295.43,3281.6,,,,,3290.9,9.663701671,3312.48,-33.39515627
3284,2018/10/11,3179.54,3209.52,3099.04,3124.11,120941342,,-16.19110173,-5.314640043,-21.75292338,3179.54,3124.11,,,,,3290.9,9.663701671,3312.48,-33.39515627
3285,2018/10/12,3123.37,3184.12,3094.97,3170.73,98611151,,-24.95509368,-9.242730771,-31.42472583,3170.73,3123.37,,,,,3290.9,9.663701671,3312.48,-33.39515627
3286,2018/10/15,3173.85,3183.13,3120.23,3126.45,69605023,,-35.06938831,-14.40806228,-41.32265206,3173.85,3126.45,,1,,,3290.9,9.663701671,3312.48,-33.39515627
3287,2018/10/16,3128.58,3166.09,3089.37,3100.97,68887721,,-44.62663465,-20.45177675,-48.3497158,3128.58,3100.97,,,,,3290.9,9.663701671,3126.45,-35.06938831
3288,2018/10/17,3140.68,3149.13,3062.55,3118.25,76837138,,-50.22747855,-26.40691711,-47.64112287,3140.68,3118.25,,1,,1,3290.9,9.663701671,3126.45,-35.06938831
3289,2018/10/18,3097.79,3097.79,3043.38,3044.39,73771968,,-59.935177,-33.11256909,-53.64521582,3097.79,3044.39,,,,1,3290.9,9.663701671,3118.25,-50.22747855
3290,2018/10/19,3017.75,3137.75,3009.5,3134.95,98839688,,-59.63374215,-38.4168037,-42.43387689,3134.95,3017.75,,,,,3290.9,9.663701671,3118.25,-50.22747855
3291,2018/10/22,3159.56,3297.38,3159.56,3270.27,145862045,,-47.9232306,-40.31808908,-15.21028304,3270.27,3159.56,,1,,,3290.9,9.663701671,3118.25,-50.22747855
3292,2018/10/23,3273.13,3276.02,3163.57,3183.43,121013241,,-45.12960211,-41.28039169,-7.698420853,3273.13,3183.43,,,,,3290.9,9.663701671,3270.27,-47.9232306
3293,2018/10/24,3169.46,3245.4,3164.29,3188.2,110909744,,-42.04605157,-41.43352366,-1.225055808,3188.2,3169.46,,,,,3290.9,9.663701671,3270.27,-47.9232306
3294,2018/10/25,3107.84,3197.32,3099.89,3194.31,106951817,,-38.6635997,-40.87953887,4.431878346,3194.31,3107.84,,,,,3290.9,9.663701671,3270.27,-47.9232306
3295,2018/10/26,3204.28,3218.1,3151.92,3173.64,101299354,,-37.22180863,-40.14799282,5.852368378,3204.28,3173.64,,,,,3290.9,9.663701671,3270.27,-47.9232306
3296,2018/10/29,3157.49,3158.81,3062.58,3076.89,91839789,,-43.38596881,-40.79558802,-5.180761586,3157.49,3076.89,,,,,3290.9,9.663701671,3270.27,-47.9232306
3297,2018/10/30,3061.93,3146.63,3050.77,3110.26,116070101,,-45.05901774,-41.64827397,-6.821487556,3110.26,3061.93,,,,,3290.9,9.663701671,3270.27,-47.9232306
3298,2018/10/31,3116.66,3168.92,3106.03,3153.82,111207455,,-42.38144619,-41.79490841,-1.173075558,3153.82,3116.66,,,,,3290.9,9.663701671,3270.27,-47.9232306
