id,pcid,cid,招生代码,zstype,coname,conamememo,bdenji,选测等级,xdenjinuma,xdenjinumb,xdenjicanchange,diploma,yearno,ty,pici,source_pici,source_zscode,招生专业代码,specname,specflag,specnamememo,specnamememolq,specnamememoplan,招生计划增减,xuezi,xuefei,xuancei,sid,speccode,scateid,stypebig,stypesmall,计划招生,录取人数,最高分,最低分,分差,位次,segmenttotalman,linescore,zypingxing,zyzhengqiu,zyfucong,lastplannum,lastlqnum,2018最高分,2018最低分,2018分差,2018位次,lastsegmenttotalman,lastlinescore,lastzypingxing,lastzyzhengqiu,lastzyfucong,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,分差2019,位次2019,分差2018,位次2018,分差2017,位次2017,分差2016,位次2016,分差2015,位次2015,isok,zscode,specialtynum,specialtynum3,havespace,xdenji,underlinecount,underlinecount_old,minscoregailv,minscoregailv_2020_toudang,minscoregailv_2020_xh,minscoregailv_2020_4,minscoregailv_2020_3,minscoregailv_2020_1,minscoregailv_2019_used,minscoregailv_2019,minscoregailv_2018,minscoregailv_other,minscoregailv_1,minscoregailv_2019_1,plannum,lqnum,maxscore,minscore,minscoreminus,segmentposition,lastmaxscore,lastminscore,lastminscoreminus,lastsegmentposition,plannumupdown,minscoreminus2018,segmentposition2018,minscoreminus2017,segmentposition2017,minscoreminus2016,segmentposition2016,minscoreminus2015,segmentposition2015,minscoreminus2019,segmentposition2019
68164,,23,,,北京航空航天大学,,,,0,0,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,0,343,0,0,0,0,0,,,,,0,0,0,0,0,1,1,1,1,1,A+,理工,北京,公办,,,,,,,,,,,,3106,1,8,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36077,44,848,41,972,29,864,29,1104,0,0
67574,,24,,,同济大学,(上海),,,6,6,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,54,343,0,0,0,17,17,,,,,44,339,17,0,0,1,1,1,1,1,A+,理工,上海,公办,,,,,,,,,,,,2102,3,80,0,BB,0,0,399,399,403,402,402,402,0,0,0,0,0,0,17,0,0,399,56,511,408,394,55,270,0,53,313,48,489,35,425,38,438,55,270
69041,,25,,,华南理工大学,(广州),,,8,6,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,109,343,0,0,0,11,11,,,,,122,339,11,0,0,1,1,1,1,1,A+,理工,广东,公办,,,,,,,,,,,,5402,7,52,0,AB,0,0,392,392,388,388,388,388,0,0,0,0,0,0,11,0,0,392,49,1066,383,380,41,1284,0,40,1260,34,1756,16,2938,23,1882,41,1284
68148,,26,,,中国人民大学,(北京),,,9,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,25,343,0,0,0,31,31,,,,,22,339,31,0,0,1,1,1,1,1,A+,综合,北京,公办,,,,,,,,,,,,3102,9,110,0,A+A,0,0,408,408,409,409,409,409,0,0,0,0,0,0,27,0,0,408,65,143,407,400,61,128,-4,58,154,59,135,43,138,40,346,61,128
68508,,27,,,大连理工大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,239,343,0,0,0,15,16,,,,,248,339,16,0,0,1,1,1,1,1,A+,理工,辽宁,公办,,,,,,,,,,,,4131,3,41,0,AB,0,0,379,379,378,378,378,378,0,0,0,0,0,0,18,0,0,379,36,3107,378,368,29,3474,3,28,3417,26,3281,12,3964,10,4777,29,3474
69374,,28,,,西北工业大学,(西安),,,8,6,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,277,343,0,0,0,9,9,,,,,265,339,9,0,0,1,1,1,1,1,A,理工,陕西,公办,,,,,,,,,,,,7102,2,37,0,AB,0,0,378,378,375,375,375,377,0,0,0,0,0,0,8,0,0,378,35,3346,375,366,27,3975,-1,28,3417,25,3539,13,3678,10,4777,27,3975
68467,,29,,,东北大学,(沈阳),,,8,6,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,253,343,0,0,0,9,9,,,,,253,339,9,0,0,1,1,1,1,1,A+,理工,辽宁,公办,,,,,,,,,,,,4101,2,38,0,AB,0,0,376,376,376,376,376,376,0,0,0,0,0,0,10,0,0,376,33,3866,370,367,28,3722,1,26,3895,23,4011,10,4610,7,5791,28,3722
69252,,30,,,重庆大学,,,,8,6,0,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,130,343,0,0,0,15,15,,,,,121,339,15,0,0,1,1,1,1,1,A+,综合,重庆,公办,,,,,,,,,,,,6201,7,84,0,"历史A,另一门B",0,0,390,390,389,389,389,389,0,0,0,0,0,0,15,0,0,390,47,1300,383,379,40,1406,0,40,1260,37,1375,24,1430,21,2189,40,1406
68177,,31,,中外合作办学,中国农业大学,(北京),,,8,6,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,411,343,0,0,0,5,5,,,,,273,339,5,0,0,1,1,1,1,1,A+,农林,北京,公办,,,,,,,,,,,,3110,3,13,0,AB,0,0,365,365,378,378,378,378,0,0,0,0,0,0,5,0,0,365,22,7446,376,369,30,3201,0,31,2769,24,3778,13,3678,6,6164,30,3201
69476,,32,,,兰州大学,,,,8,7,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,277,343,0,0,0,42,42,,,,,265,339,42,0,0,1,1,1,1,1,A+,综合,甘肃,公办,,,,,,,,,,,,7201,12,144,0,AB+,0,0,378,378,376,376,376,374,0,0,0,0,0,0,26,0,0,378,35,3346,375,366,27,3975,-16,24,4437,21,4554,10,4610,9,5085,27,3975
