id,pcid,cid,招生代码,zstype,coname,conamememo,bdenji,选测等级,xdenjinuma,xdenjinumb,xdenjicanchange,diploma,yearno,ty,pici,source_pici,source_zscode,招生专业代码,specname,specflag,specnamememo,specnamememolq,specnamememoplan,招生计划增减,xuezi,xuefei,xuancei,sid,speccode,scateid,stypebig,stypesmall,计划招生,录取人数,最高分,最低分,分差,位次,segmenttotalman,linescore,zypingxing,zyzhengqiu,zyfucong,lastplannum,lastlqnum,2018最高分,2018最低分,2018分差,2018位次,lastsegmenttotalman,lastlinescore,lastzypingxing,lastzyzhengqiu,lastzyfucong,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,分差2019,位次2019,分差2018,位次2018,分差2017,位次2017,分差2016,位次2016,分差2015,位次2015,isok,zscode,xdenji,speccodenum,specflag_old,specnamememo_jiu,plannumupdown,plannum,lqnum,maxscore,minscore,minscoreminus,segmentposition,lastmaxscore,lastminscore,lastminscoreminus,lastsegmentposition,minscoreminus2019,segmentposition2019,minscoreminus2018,segmentposition2018,minscoreminus2017,segmentposition2017,minscoreminus2016,segmentposition2016,minscoreminus2015,segmentposition2015
326397,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,新闻传播学类,100326397,,,,,四年,5000,√×××,2332,050300,115,文学,新闻传播学类,,,,,,,3,343,2,0,0,1,1,,,,,5,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,16,110225844,,1,2,2,420,419,76,22,410,410,71,21,71,21,73,0,76,19,0,0,61,0
326398,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,经济学类,100326398,,,,,四年,5000,√×××,2279,020100,101,经济学,经济学类,,,,,,,16,343,1,0,0,1,1,,,,,0,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,17,110225845,,0,1,1,421,421,78,1,412,412,73,0,73,0,77,0,78,0,52,30,62,0
326399,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,工商管理类,100326399,,,,,四年,5000,√×××,2519,120200,178,管理学,工商管理类,,,,,,,0,343,1,0,0,1,4,,,,,0,339,4,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,18,110225846,,0,1,1,422,422,79,0,420,418,79,0,79,0,79,0,88,0,57,0,65,0
326400,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,公共管理类,100326400,,,,,四年,5000,√×××,2527,120400,180,管理学,公共管理类,,,,,,,9,343,1,0,0,1,1,,,,,4,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,19,210225853,,1,2,1,418,418,75,25,409,409,70,26,70,26,0,0,72,28,53,26,60,0
326401,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,人文科学试验班,100326401,,,,,四年,5000,√×××,0,,0,,,,,,,,,0,343,0,0,0,1,0,,,,,0,339,0,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,20,310225855,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326402,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,城乡规划,0,,,,,四年,5000,√×××,242,082802,156,工学,建筑类,,,,,,,8,343,1,0,0,0,0,,,,,0,0,0,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,21,0,,36077,2,1,417,417,74,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326403,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,英语,100326403,(只招英语考生)(口),,,,四年,5000,√×××,45,050201,114,文学,外国语言文学类,,,,,,,0,343,0,0,0,2,1,,,,,20,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,22,310225854,(只招英语考生)(口),0,2,0,0,0,0,0,411,411,72,1,72,1,0,0,0,0,0,0,63,0
326104,67687,3,,,浙江大学,(杭州),,,8,8,1,本科,2020,文科,本科第一批次,,,,人文科学试验班,100326104,,,,,四年,5300,√√√√,0,,0,,,,,,,,,48,343,12,0,0,12,7,,,,,60,339,7,0,0,1,1,1,1,1,A+,综合,浙江,公办院校,,,,,,,,,,,1,2201,AA,01,110221595,,1,13,12,402,402,59,344,399,390,51,452,51,452,50,450,50,398,37,339,37,496
326105,67687,3,,,浙江大学,(杭州),,,8,8,1,本科,2020,文科,本科第一批次,,,,新闻传播学类,0,,,,,四年,5300,√√√√,2332,050300,115,文学,新闻传播学类,,,,,,,48,343,4,0,0,0,0,,,,,0,0,0,0,0,1,1,1,1,1,A+,综合,浙江,公办院校,,,,,,,,,,,1,2201,AA,02,0,,36077,4,4,409,402,59,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326106,67687,3,,,浙江大学,(杭州),,,8,8,1,本科,2020,文科,本科第一批次,,,,外国语言文学类,0,(英语、翻译、德语、法     语、西班牙语、日语、俄语),,,,四年,5300,√√√√,2331,050200,114,文学,外国语言文学类,,,,,,,48,343,5,0,0,0,0,,,,,0,0,0,0,0,1,1,1,1,1,A+,综合,浙江,公办院校,,,,,,,,,,,1,2201,AA,03,0,(英语、翻译、德语、法     语、西班牙语、日语、俄语),36077,5,5,403,402,59,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
