本基金收益率数据由邢不行整理，包含了2008年-2021年所有主动偏股型基金，并剔除当年新上市基金，同一个基金的A类/C类份额中只取A类。,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
180001.OF,-0.454708199,0.506237689,0.041100647,-0.15309586,0.073228185,0.096860388,0.192739874,0.39670334,-0.191964762,-0.032121212,-0.296884784,0.485806523,0.503599428,0.008875946
320001.OF,-0.427534708,0.510380305,-0.034059117,-0.238257146,0.045627376,0.049644269,0.359692725,0.22510247,-0.271543539,0.160004965,-0.122418406,0.26252896,0.185145837,0.113431018
217009.OF,-0.545151654,0.510735034,-0.009127474,-0.270994963,0.032158477,0.034022931,0.108955044,0.39300076,-0.173441523,0.095148197,-0.242975349,0.536427787,0.754884256,-0.054973026
378010.OF,-0.508083141,0.510864399,-0.098417776,-0.238405981,0.142142383,0.183219178,-0.073082489,0.153864169,-0.31614911,0.24742778,-0.136702257,0.41270906,0.606730052,0.181712877
255010.OF,-0.448572697,0.514036071,-0.068393683,-0.185755534,0.002364066,0.183962264,0.31706911,0.41960603,-0.04952109,0.165331002,-0.159628378,0.319285064,0.457697891,0.066280265
050007.OF,-0.263241107,0.51502146,0.02760132,-0.285509201,0.054333764,0.07607362,0.179019384,0.020368574,-0.134498874,0.154462242,-0.208126858,0.371714643,0.346807681,0.033039133
150103.OF,-0.455727775,0.51603928,0.185145202,-0.154035343,0.038333154,0.223167064,0.139703187,0.575132821,-0.216366779,0.173830278,-0.302321611,0.463298263,0.671280231,0.076428554
519003.OF,-0.520037279,0.52038835,0.075351214,-0.204275534,-0.032835821,0.078703704,0.035765379,0.371546961,-0.01510574,0.115541922,-0.224418251,0.539379475,0.691089312,0.252010179
519008.OF,-0.461260315,0.520749192,0.080464417,-0.24316534,0.125128786,0.161622636,0.217295717,0.589908536,-0.173801718,0.325009704,-0.236587606,0.400990099,0.581015747,0.035816013
162201.OF,-0.316066312,0.521242459,0.223225464,-0.271666867,0.088962296,0.307845188,0.159752451,0.468947596,-0.229612595,-0.035285113,-0.199063789,0.696752436,0.158257039,0.47035231
080001.OF,-0.458582408,0.525236593,0.154084798,-0.221085759,0.01010101,0.14875,0.324265506,0.513666505,-0.082906848,0.157547952,-0.197094158,0.332901715,0.339751199,0.131616679
070099.OF,-0.477162293,0.527881041,0.232360097,-0.206317868,0.121890547,0.154101996,0.022180805,0.770501366,-0.163474553,0.177325581,-0.238536504,0.487719298,0.781360432,-0.095157973
163804.OF,-0.43171479,0.529652018,0.123741195,-0.220647476,0.160199005,0.282161235,0.134464199,0.464430801,-0.093716804,0.086311179,-0.077083134,0.356429595,0.660429573,0.207262302
202005.OF,-0.528397636,0.531839622,-0.065560129,-0.173511186,0.146016012,-0.071523619,0.581512002,0.25810859,0.010310551,0.290498202,-0.312491996,0.512590449,0.436155489,-0.005855728
160105.OF,-0.50514353,0.532295341,0.069820964,-0.233032129,0.019002375,0.081373172,0.274591767,0.436324107,-0.101006487,0.149907464,-0.278153473,0.285371096,0.336372983,0.123690422
260101.OF,-0.519151106,0.532544117,-0.010856644,-0.198163167,0.142872928,0.396856794,0.094045764,0.610184842,-0.082760813,0.277168949,-0.196435263,0.470271933,0.578411005,0.207238738
519018.OF,-0.455736804,0.532749621,0.049182665,-0.254725104,0.052212239,0.118092476,0.132230332,0.609483177,-0.2327397,0.171629956,-0.290118815,0.436440678,0.572214742,0.056680674
450001.OF,-0.415802025,0.533751686,0.050015243,-0.196893849,0.013824885,0.086983471,0.214788063,0.285401345,-0.016433353,0.095049505,-0.10465642,0.395985862,0.526726179,0.183663957
610002.OF,,0.53589243,0.08433735,-0.177301473,0.083844581,-0.013207547,0.705544933,-0.052130045,-0.080768267,0.222120658,-0.152580404,0.740740054,0.418442472,0.332717478
519066.OF,,0.541614234,0.081456872,-0.200010301,0.039269407,0.152615303,0.116531386,0.744225876,-0.046588155,0.460893855,-0.21738938,0.453248811,0.591158911,-0.100633836
166002.OF,,0.541711483,0.040476689,-0.139484759,0.109971374,0.146249732,0.24085171,0.55488887,-0.02234978,0.19707013,-0.18328404,0.591273187,0.427738773,0.033868561
121006.OF,,0.551844322,0.143922389,-0.127326151,0.142536476,0.054027505,0.126423673,0.554600172,-0.044800885,0.056544637,-0.135740072,0.438596491,0.577235773,0.071057963
