code,name,industry,area
600054,黄山旅游,旅游景点,安徽
600397,安源煤业,煤炭开采,江西
603978,深圳新星,铝,深圳
300395,菲利华,玻璃,湖北
600781,辅仁药业,中成药,河南
002703,浙江世宝,汽车配件,浙江
002588,史丹利,农药化肥,山东
600688,上海石化,石油加工,上海
300566,激智科技,元器件,浙江
600020,中原高速,路桥,河南
600199,金种子酒,白酒,安徽
002949,华阳国际,建筑施工,深圳
002412,汉森制药,中成药,湖南
300083,劲胜智能,元器件,广东
601515,东风股份,广告包装,广东
600552,凯盛科技,玻璃,安徽
002351,漫步者,电脑设备,深圳
603030,全筑股份,装修装饰,上海
300506,名家汇,建筑施工,深圳
601069,西部黄金,黄金,新疆
600028,中国石化,石油加工,北京
603986,兆易创新,半导体,北京
002539,云图控股,农药化肥,四川
300086,康芝药业,化学制药,海南
002935,天奥电子,元器件,四川
603336,宏辉果蔬,农业综合,广东
603798,康普顿,石油加工,山东
000852,石化机械,化工机械,湖北
600598,北大荒,种植业,黑龙江
600518,康美药业,中成药,广东
600371,万向德农,种植业,黑龙江
000921,海信家电,家用电器,广东
300050,世纪鼎利,软件服务,广东
002250,联化科技,化工原料,浙江
002112,三变科技,电气设备,浙江
601615,明阳智能,机械基件,广东
600794,保税科技,仓储物流,江苏
300219,鸿利智汇,元器件,广东
600729,重庆百货,百货,重庆
002846,英联股份,广告包装,广东
600691,阳煤化工,农药化肥,山西
002427,*ST尤夫,化纤,浙江
300659,中孚信息,软件服务,山东
002461,珠江啤酒,啤酒,广东
601857,中国石油,石油开采,北京
000917,电广传媒,影视音像,湖南
002878,元隆雅图,文教休闲,北京
600898,国美通讯,通信设备,山东
002129,中环股份,半导体,天津
300587,天铁股份,橡胶,浙江
300161,华中数控,机床制造,湖北
000782,美达股份,化纤,广东
603128,华贸物流,仓储物流,上海
000969,安泰科技,钢加工,北京
600844,丹化科技,化工原料,上海
000930,中粮生化,农业综合,安徽
300552,万集科技,软件服务,北京
300147,香雪制药,中成药,广东
300098,高新兴,通信设备,广东
600774,汉商集团,百货,湖北
603444,吉比特,互联网,福建
601567,三星医疗,电器仪表,浙江
603960,克来机电,专用机械,上海
300509,新美星,专用机械,江苏
603385,惠达卫浴,家居用品,河北
600390,五矿资本,多元金融,湖南
000976,华铁股份,运输设备,广东
603628,清源股份,电气设备,福建
603689,皖天然气,供气供热,安徽
002892,科力尔,电气设备,湖南
600848,上海临港,园区开发,上海
600561,江西长运,公共交通,江西
601330,绿色动力,环境保护,深圳
603028,赛福天,钢加工,江苏
002512,达华智能,元器件,福建
600639,浦东金桥,园区开发,上海
002663,普邦股份,建筑施工,广东
000032,深桑达Ａ,元器件,深圳
603118,共进股份,通信设备,深圳
600825,新华传媒,出版业,上海
600966,博汇纸业,造纸,山东
002879,长缆科技,电气设备,湖南
600421,ST仰帆,机械基件,湖北
300632,光莆股份,半导体,福建
603260,合盛硅业,化工原料,浙江
300223,北京君正,半导体,北京
603700,宁波水表,电器仪表,浙江
002400,省广集团,广告包装,广东
600452,涪陵电力,水力发电,重庆
002555,三七互娱,互联网,安徽
000063,中兴通讯,通信设备,深圳
603039,泛微网络,软件服务,上海
300236,上海新阳,半导体,上海
002007,华兰生物,生物制药,河南
300201,海伦哲,专用机械,江苏
002217,合力泰,元器件,山东
603568,伟明环保,环境保护,浙江
603970,中农立华,其他商业,北京
000978,桂林旅游,旅游景点,广西
002334,英威腾,电气设备,深圳
600603,广汇物流,仓储物流,四川
300745,欣锐科技,汽车配件,深圳
600143,金发科技,塑料,广东
300688,创业黑马,综合类,北京
600623,华谊集团,汽车配件,上海
601118,海南橡胶,橡胶,海南
002739,万达电影,影视音像,北京
002267,陕天然气,供气供热,陕西
002317,众生药业,中成药,广东
600537,亿晶光电,半导体,浙江
002160,常铝股份,铝,江苏
601929,吉视传媒,影视音像,吉林
002902,铭普光磁,元器件,广东
300767,震安科技,橡胶,云南
600283,钱江水利,水务,浙江
603005,晶方科技,半导体,江苏
600573,惠泉啤酒,啤酒,福建
002810,山东赫达,化工原料,山东
002682,龙洲股份,公路,福建
300545,联得装备,专用机械,深圳
000967,盈峰环境,环境保护,浙江
002449,国星光电,半导体,广东
000068,华控赛格,元器件,深圳
603629,利通电子,元器件,江苏
603707,健友股份,化学制药,江苏
002868,绿康生化,农业综合,福建
000715,中兴商业,百货,辽宁
600372,中航电子,航空,北京
002897,意华股份,元器件,浙江
002549,凯美特气,环境保护,湖南
002660,茂硕电源,电气设备,深圳
002087,新野纺织,纺织,河南
603583,捷昌驱动,电气设备,浙江
002679,福建金森,林业,福建
600821,津劝业,百货,天津
