,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif,state,signal
600,2007-09-25,5524.02,5540.87,5423.52,5454.62,45326200.0,,158.92609537769476,178.63853103074916,-39.4248713061088,5524.02,5454.62,,,,1.0,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
601,2007-09-26,5433.63,5489.86,5338.31,5361.02,39171200.0,,142.96843578505923,171.5045119816112,-57.07215239310392,5433.63,5361.02,,,,1.0,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
602,2007-09-27,5364.53,5429.05,5338.04,5427.66,33759100.0,,134.15273740581506,164.03415706645197,-59.762839321273816,5427.66,5364.53,,,,1.0,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
603,2007-09-28,5479.85,5590.85,5479.85,5580.81,48514600.0,,137.93413910406161,158.8141534739739,-41.76002873982458,5580.81,5479.85,,,,,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
604,2007-10-08,5703.28,5715.91,5617.1,5653.14,66449700.0,,145.09479127101804,156.07028103338274,-21.950979524729405,5703.28,5653.14,,,,,5419.27,176.58004130941845,1252.39,-30.29369001524401,,
605,2007-10-09,5638.63,5682.97,5582.77,5675.93,53633500.0,,150.86949264090072,155.03012335488634,-8.321261427971251,5675.93,5638.63,1.0,,,,5419.27,176.58004130941845,1252.39,-30.29369001524401,顶背离,0.0
606,2007-10-10,5694.99,5776.21,5653.79,5685.76,63994500.0,,154.45868040772166,154.9158347654534,-0.9143087154635055,5694.99,5685.76,,,,,5675.93,150.86949264090072,1252.39,-30.29369001524401,,
607,2007-10-11,5695.13,5761.22,5650.1,5760.08,65141100.0,,161.43917019189485,156.2205018507417,10.437336682306295,5760.08,5695.13,,,,,5675.93,150.86949264090072,1252.39,-30.29369001524401,,
608,2007-10-12,5777.9,5796.28,5485.56,5737.22,78001100.0,,163.24486252773568,157.62537398614052,11.23897708319032,5777.9,5737.22,,,,,5675.93,150.86949264090072,1252.39,-30.29369001524401,,
609,2007-10-15,5761.87,5824.98,5690.07,5821.45,70682100.0,,169.51844071077176,160.00398733106675,19.028906759410006,5821.45,5761.87,,,,,5675.93,150.86949264090072,1252.39,-30.29369001524401,,
610,2007-10-16,5851.54,5885.48,5815.61,5877.2,64692000.0,,176.94909665804062,163.39300919646152,27.112174923158193,5877.2,5851.54,,,,,5675.93,150.86949264090072,1252.39,-30.29369001524401,,
611,2007-10-17,5862.38,5891.72,5797.61,5824.12,48869800.0,,176.52001973173537,166.0184113035163,21.003216856438144,5862.38,5824.12,1.0,,,,5675.93,150.86949264090072,1252.39,-30.29369001524401,,
612,2007-10-18,5813.24,5813.24,5593.99,5615.75,48595600.0,,157.55011593213112,164.32475222923927,-13.54927259421629,5813.24,5615.75,,,,,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
613,2007-10-19,5651.03,5711.5,5563.78,5614.06,38466500.0,,140.75739795885693,159.6112813751628,-37.70776683261175,5651.03,5614.06,,,,,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
614,2007-10-22,5543.79,5594.5,5465.85,5472.68,35867500.0,,114.7184605386683,150.63271720786392,-71.82851333839125,5543.79,5472.68,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
615,2007-10-23,5467.83,5541.96,5373.05,5540.09,41896800.0,,98.38768665631505,140.18371109755415,-83.5920488824782,5540.09,5467.83,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
616,2007-10-24,5564.48,5644.97,5553.33,5588.01,44661200.0,,88.29437165838772,129.80584320972088,-83.02294310266632,5588.01,5564.48,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
617,2007-10-25,5549.66,5556.55,5312.85,5333.79,50821700.0,,59.10064199723729,115.66480296722416,-113.12832193997374,5549.66,5333.79,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
618,2007-10-26,5279.1,5428.58,5266.37,5394.81,35896000.0,,40.4222424963682,100.61629087305298,-120.38809675336955,5394.81,5279.1,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
619,2007-10-29,5428.68,5509.35,5428.68,5508.36,35234000.0,,34.38563613532915,87.37015992550822,-105.96904758035814,5508.36,5428.68,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
620,2007-10-30,5529.96,5597.27,5467.52,5596.07,39193900.0,,36.26105125263166,77.1483381909329,-81.77457387660249,5596.07,5529.96,,,,,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
621,2007-10-31,5663.76,5691.87,5590.54,5688.54,50329500.0,,44.693686444220475,70.65740784159041,-51.927442794739875,5688.54,5663.76,,,,,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
622,2007-11-01,5701.49,5702.21,5604.79,5605.23,46612500.0,,44.145310181856075,65.35498830964355,-42.41935625557494,5701.49,5605.23,,,,,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
623,2007-11-02,5514.85,5565.66,5448.99,5472.93,43289500.0,,32.65874404830083,58.815739457375,-52.31399081814834,5514.85,5472.93,,,,1.0,5824.12,176.52001973173537,1252.39,-30.29369001524401,,
